Route,Total_Shipments,Avg_Lead_Time,Lead_Time_StdDev,Total_Sales
The Other Factory -> North Carolina,1,0.0,,9.0
The Other Factory -> Kentucky,2,1.0,1.4142135623730951,26.0
The Other Factory -> Oregon,2,1.5,0.7071067811865476,26.0
Lot's O' Nuts -> West Virginia,2,1.5,2.1213203435596424,38.72
The Other Factory -> Arizona,2,2.0,0.0,38.75
The Other Factory -> Nevada,1,2.0,,16.25
The Other Factory -> New Hampshire,2,2.0,0.0,35.75
Sugar Shack -> Tennessee,1,2.0,,1.5
Secret Factory -> New Mexico,2,2.0,1.4142135623730951,12.5
Secret Factory -> Colorado,7,2.142857142857143,1.3451854182690985,171.25
Secret Factory -> Oregon,2,2.5,2.1213203435596424,180.0
Secret Factory -> Virginia,5,2.6,0.5477225575051661,93.75
The Other Factory -> Florida,3,2.6666666666666665,0.5773502691896258,39.0
Secret Factory -> Alabama,3,3.0,0.0,150.0
Lot's O' Nuts -> Wyoming,1,3.0,,13.96
Lot's O' Nuts -> Manitoba,2,3.0,0.0,18.0
Sugar Shack -> Ohio,2,3.0,4.242640687119285,18.46
Sugar Shack -> California,1,3.0,,6.0
Secret Factory -> Nebraska,1,3.0,,2.5
Secret Factory -> South Carolina,1,3.0,,6.25
Secret Factory -> Kentucky,2,3.0,1.4142135623730951,46.25
Sugar Shack -> Arizona,1,3.0,,11.25
The Other Factory -> Maryland,1,3.0,,3.25
Secret Factory -> Connecticut,1,3.0,,2.5
Wicked Choccy's -> Maine,2,3.0,0.0,55.25
The Other Factory -> South Carolina,1,3.0,,6.5
Sugar Shack -> Illinois,2,3.0,2.8284271247461903,12.0
Wicked Choccy's -> South Dakota,3,3.0,1.7320508075688772,33.75
Lot's O' Nuts -> Rhode Island,30,3.1333333333333333,1.5698305055298019,353.76
Lot's O' Nuts -> Quebec,24,3.25,1.5673294928413855,242.93
Wicked Choccy's -> Louisiana,15,3.2666666666666666,1.624221425205085,220.5
Wicked Choccy's -> Connecticut,31,3.2903225806451615,2.2685318069491087,440.75
Secret Factory -> Illinois,13,3.3076923076923075,2.175033156245952,546.25
The Other Factory -> Texas,9,3.3333333333333335,2.0,100.75
Secret Factory -> Rhode Island,3,3.3333333333333335,2.0816659994661326,142.5
Wicked Choccy's -> Rhode Island,21,3.3333333333333335,1.3540064007726602,282.25
Wicked Choccy's -> Nebraska,14,3.357142857142857,1.2774459408789602,185.75
Secret Factory -> Arizona,5,3.4,1.816590212458495,640.0
Wicked Choccy's -> Missouri,29,3.413793103448276,1.3762589400075624,362.25
Wicked Choccy's -> New Hampshire,11,3.4545454545454546,1.0357254813546264,208.25
Lot's O' Nuts -> Ohio,262,3.4580152671755724,1.9642769115393668,3472.7400000000002
Secret Factory -> Quebec,2,3.5,0.7071067811865476,100.0
Lot's O' Nuts -> Alberta,16,3.5,1.3165611772087666,204.32
Wicked Choccy's -> North Dakota,2,3.5,2.1213203435596424,52.5
Secret Factory -> Nevada,2,3.5,0.7071067811865476,202.5
The Other Factory -> Colorado,2,3.5,0.7071067811865476,19.5
Lot's O' Nuts -> South Carolina,21,3.5238095238095237,1.569045812557671,281.32
Secret Factory -> Pennsylvania,19,3.526315789473684,1.5408663166699286,762.5
Secret Factory -> Texas,16,3.5625,1.7876893839068724,517.5
Wicked Choccy's -> Montana,7,3.5714285714285716,1.9023794624226837,109.5
Lot's O' Nuts -> Connecticut,47,3.574468085106383,2.0824805531850905,523.59
Wicked Choccy's -> Alabama,22,3.6363636363636362,1.8656150408161596,333.75
Sugar Shack -> Michigan,3,3.6666666666666665,3.0550504633038935,17.740000000000002
Secret Factory -> Tennessee,3,3.6666666666666665,1.1547005383792515,62.5
Secret Factory -> Ohio,13,3.6923076923076925,1.8432134703923737,768.75
Lot's O' Nuts -> Delaware,43,3.697674418604651,1.6261974887525958,631.59
Wicked Choccy's -> Ohio,189,3.708994708994709,2.006630908023617,2479.75
The Other Factory -> California,21,3.7142857142857144,1.901127485016645,233.75
The Other Factory -> Pennsylvania,7,3.7142857142857144,2.563479777846623,97.5
Secret Factory -> Washington,11,3.727272727272727,2.2401298663653,351.25
Wicked Choccy's -> Utah,23,3.739130434782609,1.6846200355070045,362.5
Wicked Choccy's -> British Columbia,4,3.75,0.9574271077563381,37.5
Lot's O' Nuts -> Colorado,103,3.766990291262136,1.8640241283001704,1447.66
Lot's O' Nuts -> Massachusetts,76,3.8157894736842106,1.7641657240050852,1003.24
Lot's O' Nuts -> Utah,29,3.8275862068965516,1.5134861724140958,393.91
Wicked Choccy's -> Washington,221,3.828054298642534,1.8919279048204387,3023.0
Lot's O' Nuts -> Missouri,36,3.8333333333333335,1.6475089420958282,514.08
Wicked Choccy's -> Georgia,65,3.8461538461538463,2.0173526063783536,862.25
Lot's O' Nuts -> California,1125,3.8497777777777777,1.8769088609417168,15044.9
Secret Factory -> Georgia,7,3.857142857142857,1.3451854182690985,317.5
